0005 枯れた竹 かれたたけ
0006 枯れた木 かれたき
0007 木の切り株(成長1) きのきりかぶ1
0008 木の切り株(成長2) きのきりかぶ2
0009 木の切り株(成長3) きのきりかぶ3
000A 木の切り株 きのきりかぶ4
000B 木の切り株(ハート) きのきりかぶ(はーと)
000C 木の切り株(蝶) きのきりかぶ(ちょう)
000D 木の切り株(オレンジ) きのきりかぶ(おれんじ)
000E 木の切り株(イチョウ) きのきりかぶ(いちょう)
000F 木の切り株(×印) きのきりかぶ(×じるし)
0010 木の切り株(トライフォース) きのきりかぶ(とらいほーす)
0011 針葉樹の切り株(成長1) しんようじゅのきりかぶ1
0012 針葉樹の切り株(成長2) しんようじゅのきりかぶ2
0013 針葉樹の切り株(成長3) しんようじゅのきりかぶ3
0014 針葉樹の切り株 しんようじゅのきりかぶ
0015 針葉樹の切り株(星) しんようじゅのきりかぶ(ほし)
0016 針葉樹の切り株(猫) しんようじゅのきりかぶ(ねこ)
0017 針葉樹の切り株(花) しんようじゅのきりかぶ(はな)
0018 針葉樹の切り株(葉っぱ) しんようじゅのきりかぶ(はっぱ)
0019 針葉樹の切り株(オンプ) しんようじゅのきりかぶ(おんぷ)
001A 針葉樹の切り株(クローバー) しんようじゅのきりかぶ(くろーばー)
001B 切断ヤシの木(成長1) せつだんやしのき1
001C 切断ヤシの木(成長2) せつだんやしのき2
001D 切断ヤシの木(成長3) せつだんやしのき3
001E ヤシの切り株(flag) やしのきりかぶ
001F 切断竹(成長1) せつだんたけ1
0020 切断竹(成長2) せつだんたけ2
0021 切断竹(成長3) せつだんたけ3
0022 木(成長1) き1
0023 木(成長2) き2
0024 木(成長3) き3
0025 木(成長4) き4
0026 木(flag) き
0027 針葉樹(成長1) しんようじゅ1
0028 針葉樹(成長2) しんようじゅ2
0029 針葉樹(成長3) しんようじゅ3
002A 針葉樹(成長4) しんようじゅ4
002B 針葉樹(flag) しんようじゅ
002C ヤシの木(成長1) やしのき1
002D ヤシの木(成長2) やしのき2
002E ヤシの木(成長3) やしのき3
002F ヤシの木(成長4) やしのき4
0030 ヤシの木(flag) やしのき
0031 バナナの木(成長1) ばななのき1
0032 バナナの木(成長2) ばななのき2
0033 バナナの木(成長3) ばななのき3
0034 バナナの木(成長4) ばななのき4
0035 バナナの木(flag) ばななのき
0036 竹(成長1) たけ1
0037 竹(成長2) たけ2
0038 竹(成長3) たけ3
0039 竹 たけ4
003A リンゴの木(成長1) りんごのき1
003B リンゴの木(成長2) りんごのき2
003C リンゴの木(成長3) りんごのき3
003D リンゴの木(成長4) りんごのき4
003E リンゴの木(flag) りんごのき
003F オレンジの木(成長1) おれんじのき1
0040 オレンジの木(成長2) おれんじのき2
0041 オレンジの木(成長3) おれんじのき3
0042 オレンジの木(成長4) おれんじのき4
0043 オレンジの木(flag) おれんじのき
0044 ナシの木(成長1) なしのき1
0045 ナシの木(成長2) なしのき2
0046 ナシの木(成長3) なしのき3
0047 ナシの木(成長4) なしのき4
0048 ナシの木(flag) なしのき
0049 モモの木(成長1) もものき1
004A モモの木(成長2) もものき2
004B モモの木(成長3) もものき3
004C モモの木(成長4) もものき4
004D モモの木(flag) もものき木
004E さくらんぼの木(成長1) さくらんぼのき1
004F さくらんぼの木(成長2) さくらんぼのき2
0050 さくらんぼの木(成長3) さくらんぼのき3
0051 さくらんぼの木(成長4) さくらんぼのき4
0052 さくらんぼの木(flag) さくらんぼのき
0053 ドリアンの木(成長1) どりあんのき1
0054 ドリアンの木(成長2) どりあんのき2
0055 ドリアンの木(成長3) どりあんのき3
0056 ドリアンの木(成長4) どりあんのき4
0057 ドリアンの木(flag) どりあんのき
0058 レモンの木(成長1) れもんのき1
0059 レモンの木(成長2) れもんのき2
005A レモンの木(成長3) れもんのき3
005B レモンの木(成長4) れもんのき4
005C レモンの木(flag) れもんのき
005D ライチの木(成長1) らいちのき1
005E ライチの木(成長2) らいちのき2
005F ライチの木(成長3) らいちのき3
0060 ライチの木(成長4) らいちのき4
0061 ライチの木(flag) らいちのき
0062 マンゴーの木(成長1) まんごーのき1
0063 マンゴーの木(成長2) まんごーのき2
0064 マンゴーの木(成長3) まんごーのき3
0065 マンゴーの木(成長4) まんごーのき4
0066 マンゴーの木(flag) まんごーのき
0067 柿の木(成長1) かきのき1
0068 柿の木(成長2) かきのき2
0069 柿の木(成長3) かきのき3
006A 柿の木(成長4) かきのき4
006B 柿の木(flag) かきのき
006C ベルがなる木(成長1) べるがなるき1
006D ベルがなる木(成長2) べるがなるき2
006E ベルがなる木(成長3) べるがなるき3
006F ベルがなる木(成長4) べるがなるき4
0070 ベルがなる木(flag) べるがなるき
0071 木(家具) き(かぐ)
0072 木(ハチの巣) き(はちのす)
0073 木(ベル1) き(べる1)
0074 木(ベル2) き(べる2)
0075 木(卵) き(たまご)
0076 針葉樹(家具) しんようじゅ(かぐ)
0077 針葉樹(ハチの巣) しんようじゅ(はちのす)
0078 針葉樹(ベル1) しんようじゅ(べる1)
0079 針葉樹(ベル2) しんようじゅ(べる2)
007A 針葉樹(卵) しんようじゅ(たまご)
007B 針葉樹(イルミネーション) しんようじゅ(いるみねーしょん)
007C 雑草1 ざっそう1
007D 雑草2 ざっそう2
007E 雑草3 ざっそう3
007F 雑草4 ざっそう4
0080 ヒイラギの低木(成長1) ひいらぎのていぼく1
0081 ヒイラギの低木(成長2) ひいらぎのていぼく2
0082 ヒイラギの低木 ひいらぎのていぼく3
0083 ピンクのツツジの低木(成長1) ぴんくのつつじのていぼく1
0084 ピンクのツツジの低木(成長2) ぴんくのつつじのていぼく2
0085 ピンクのツツジの低木 ぴんくのつつじのていぼく3
0086 白いツツジの低木(成長1) しろいつつじのていぼく1
0087 白いツツジの低木(成長2) しろいつつじのていぼく2
0088 白いツツジの低木 しろいつつじのていぼく3
0089 青いアジサイの低木(成長1) あおいあじさいのていぼく1
008A 青いアジサイの低木(成長2) あおいあじさいのていぼく2
008B 青いアジサイの低木 あおいあじさいのていぼく3
008C ピンクのアジサイの低木(成長1) ぴんくのあじさいのていぼく1
008D ピンクのアジサイの低木(成長2) ぴんくのあじさいのていぼく2
008E ピンクのアジサイの低木 ぴんくのあじさいのていぼく3
008F 赤いハイビスカスの低木(成長1) あかいはいびすかすのていぼく1
0090 赤いハイビスカスの低木(成長2) あかいはいびすかすのていぼく2
0091 赤いハイビスカスの低木 あかいはいびすかすのていぼく3
0092 黄色ハイビスカスの低木(成長1) きいろいはいびすかすのていぼく1
